MAC Address,Timestamp,S1 Signal Strength,Distance to S1,S2 Signal Strength,Distance to S2,Year,Month,Day,Day of the Week,Hour,Minute,X,Y,Device,Area
00:1f:3c:96:54:87,28076382,-71.875,3.0191876596174145,-88.5,19.416121815564008,2023,05,20,Saturday,12,42,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076384,-70.66666666666667,2.4654203712351994,-88.66666666666667,19.22934679992228,2023,05,20,Saturday,12,44,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076386,-71.85714285714286,2.9853713034474785,-94.0,35.48133892335755,2023,05,20,Saturday,12,46,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076388,-68.83333333333333,1.971856584929079,-89.66666666666667,22.47477722532791,2023,05,20,Saturday,12,48,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076390,-72.71428571428571,3.1907631435495825,-90.5,24.06822623116667,2023,05,20,Saturday,12,50,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076392,-71.28571428571429,2.717176603272432,-90.5,26.968046250788632,2023,05,20,Saturday,12,52,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076394,-69.75,2.1852830500039198,-87.66666666666667,17.586419868004768,2023,05,20,Saturday,12,54,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076396,-72.375,3.2022336597759296,-87.0,15.954084773308384,2023,05,20,Saturday,12,56,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076398,-69.16666666666667,2.049615170015587,-87.0,15.919033823742632,2023,05,20,Saturday,12,58,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076400,-71.71428571428571,2.834765262743228,-91.5,27.716981036523173,2023,05,20,Saturday,13,00,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076401,-75.53846153846153,5.017221101581205,-85.8,15.050589156055059,2023,05,20,Saturday,13,01,-1.0,-1.0,PC,Zona Estudo
00:28:f8:97:98:48,28075245,-83.5,10.610092271509817,-70.75,2.4802418171795897,2023,05,19,Friday,17,45,-1.0,-1.0,PC,Zona Estudo
00:28:f8:97:98:48,28075246,-84.5,12.06268772311377,-70.0,2.3135798997769883,2023,05,19,Friday,17,46,-1.0,-1.0,PC,Zona Estudo
00:28:f8:97:98:48,28075266,-83.75,11.94766042817078,-70.06666666666666,2.450224575832147,2023,05,19,Friday,18,06,-1.0,-1.0,PC,Zona Estudo
00:45:e2:22:8f:c7,28075245,-83.82352941176471,11.200809496711141,-92.6875,31.731179647272636,2023,05,19,Friday,17,45,-1.0,-1.0,PC,Zona Estudo
